[Timestamp] PID - Syscall (Arg1, Arg2, Arg3) = Return
[2025-07-15 15:33:57.130] 21709 - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0xfffffffffffffffe
[2025-07-15 15:33:57.131] 54cd - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0xfffffffffffffffe
[2025-07-15 15:33:57.131] 54cd - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0xfffffffffffffffe
[2025-07-15 15:33:57.131] 54cd - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0xfffffffffffffffe
[2025-07-15 15:33:57.131] 54cd - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0xfffffffffffffffe
[2025-07-15 15:33:57.131] 54cd - unknown (0x7ffff6dd0150, 0x7ffff6dd0830, 0x7ffff6dd0840) = 0x0
[2025-07-15 15:33:57.131] 54cd - unknown (0x0, 0x0, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.131] 54cd - brk (0x0, 0x7ffd44a11f3c, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.131] 54cd - arch_prctl (0x3001, 0x7ffd44a11ef0, 0x78ce7a5e83c0) = 0xffffffffffffffda
[2025-07-15 15:33:57.131] 54cd - mmap (0x0, 0x2000, 0x3) = 0xffffffffffffffda
[2025-07-15 15:33:57.131] 54cd - access (0x78ce7a5f8d90, 0x4, 0x5beab6211ae8) = 0xffffffffffffffda
[2025-07-15 15:33:57.131] 54cd - openat (0xffffff9c, 0x78ce7a5f721b, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - newfstatat (0x4, 0x78ce7a5f7ee9, 0x7ffd44a11040) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x0, 0x18ef7, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - close (0x4, 0x18ef7, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - openat (0xffffff9c, 0x78ce7a5c74b0, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - read (0x4, 0x7ffd44a11278, 0x340) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - newfstatat (0x4, 0x78ce7a5f7ee9, 0x7ffd44a11110) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x0, 0x2b608, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mprotect (0x78ce7a588000, 0x22000, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x78ce7a588000, 0x1a000, 0x5) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x78ce7a5a2000, 0x7000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x78ce7a5aa000, 0x2000, 0x3) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - mmap (0x78ce7a5ac000, 0x1608, 0x3) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - close (0x4, 0x0, 0x78ce7a582300) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - openat (0xffffff9c, 0x78ce7a5c79d0, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - read (0x4, 0x7ffd44a11258, 0x340) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - pread64 (0x4, 0x7ffd44a10e60, 0x310) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - pread64 (0x4, 0x7ffd44a10e20, 0x30) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - pread64 (0x4, 0x7ffd44a10dd0, 0x44) = 0xffffffffffffffda
[2025-07-15 15:33:57.132] 54cd - newfstatat (0x4, 0x78ce7a5f7ee9, 0x7ffd44a110f0) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - pread64 (0x4, 0x7ffd44a10d30, 0x310) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x0, 0x228e50, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mprotect (0x78ce7a228000, 0x1ee000, 0x0) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a228000, 0x195000, 0x5) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a3bd000, 0x58000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a416000, 0x6000, 0x3) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a41c000, 0xce50, 0x3) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - close (0x4, 0x4, 0x78ce7a200380) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - openat (0xffffff9c, 0x78ce7a5c7ed0, 0x80000) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - read (0x4, 0x7ffd44a11238, 0x340) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - newfstatat (0x4, 0x78ce7a5f7ee9, 0x7ffd44a110d0) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x0, 0x96310, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a4ed000, 0x6b000, 0x5) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a558000, 0x28000, 0x1) = 0xffffffffffffffda
[2025-07-15 15:33:57.133] 54cd - mmap (0x78ce7a580000, 0x2000, 0x3) = 0xffffffffffffffda
